X,Y,num,NAME,falla
391801.49910772865,7082642.87676724,64,CHN_CT01_V01_DJI_0219,Tipo IV - BusBar
391800.55378206144,7082642.911264071,65,CHN_CT01_V01_DJI_0219,Tipo IV - BusBar
391806.7877464561,7082635.733250167,66,CHN_CT01_V01_DJI_0221,Tipo VI - CelulaCaliente
391801.1449115789,7082629.5355642075,67,CHN_CT01_V01_DJI_0221,Tipo IV - BusBar
391801.0387552051,7082629.382802933,68,CHN_CT01_V01_DJI_0223,Tipo IV - BusBar
391811.51334091905,7082617.959953294,69,CHN_CT01_V01_DJI_0225,Tipo IV - BusBar
391811.0233896683,7082615.310514089,70,CHN_CT01_V01_DJI_0225,Tipo VI - CelulaCaliente
391811.1467358098,7082617.262028752,71,CHN_CT01_V01_DJI_0225,Tipo VI - CelulaCaliente
391811.09131693654,7082618.077960505,72,CHN_CT01_V01_DJI_0225,Tipo VI - CelulaCaliente
391810.790988797,7082617.027852385,73,CHN_CT01_V01_DJI_0227,Tipo VI - CelulaCaliente
391810.7521697725,7082614.214970752,74,CHN_CT01_V01_DJI_0227,Tipo VI - CelulaCaliente
391810.84615403734,7082616.215654874,75,CHN_CT01_V01_DJI_0227,Tipo VI - CelulaCaliente
391811.24008114246,7082616.910284025,76,CHN_CT01_V01_DJI_0227,Tipo IV - BusBar
391810.68294930435,7082613.529955974,77,CHN_CT01_V01_DJI_0229,Tipo VI - CelulaCaliente
391818.85160419287,7082591.383372993,78,CHN_CT01_V01_DJI_0239,Tipo IV - BusBar
391818.5560568973,7082591.262649464,79,CHN_CT01_V01_DJI_0241,Tipo IV - BusBar
391818.3692832476,7082592.066815913,80,CHN_CT01_V01_DJI_0243,Tipo IV - BusBar
391817.2822164545,7082615.164205963,81,CHN_CT01_V01_DJI_0247,Tipo IV - BusBar
391811.5381514951,7082618.145490992,82,CHN_CT01_V01_DJI_0249,Tipo VI - CelulaCaliente
391811.87376544054,7082618.140804613,83,CHN_CT01_V01_DJI_0249,Tipo IV - BusBar
